Percentile,Score
0,0.0
1,0.37559
2,0.53827
3,0.622
4,0.65311
5,0.66746
6,0.67464
7,0.6969587
8,0.71291
9,0.72488
10,0.73444
11,0.73923
12,0.74162
13,0.74641
14,0.7488
15,0.75119
16,0.75358
17,0.75598
18,0.75598
19,0.75837
20,0.76076
21,0.76076
22,0.76076
23,0.76315
24,0.76315
25,0.76315
26,0.76555
27,0.76555
28,0.76555
29,0.76555
30,0.76555
31,0.76555
32,0.76555
33,0.76555
34,0.76794
35,0.76794
36,0.76794
37,0.76794
38,0.77033
39,0.77033
40,0.77033
41,0.77272
42,0.77272
43,0.77272
44,0.77272
45,0.77272
46,0.77511
47,0.77511
48,0.77511
49,0.77511
50,0.77511
51,0.77511
52,0.77511
53,0.77511
54,0.77511
55,0.77511
56,0.77511
57,0.77511
58,0.77511
59,0.77511
60,0.77511
61,0.77511
62,0.77511
63,0.77511
64,0.77511
65,0.77511
66,0.77511
67,0.77511
68,0.77511
69,0.77511
70,0.77511
71,0.77511
72,0.77511
73,0.77751
74,0.77751
75,0.77751
76,0.77751
77,0.77751
78,0.7799
79,0.7799
80,0.7799
81,0.7799
82,0.78229
83,0.78229
84,0.78229
85,0.78229
86,0.78468
87,0.78468
88,0.78468
89,0.78468
90,0.78708
91,0.78708
92,0.78947
93,0.78947
94,0.79186
95,0.79186
96,0.79425
97,0.79904
98,0.80622
99,0.81578
